fec.gov
title,Two Year Summary
description,2008 Other Committees Contributions
timestamp,Mon Mar 07 05:50:24 GMT 2016
copyright,"Copyright 2012, Federal Election Commission."
cand_id,P00003392
cand_nm,CLINTON, HILLARY RODHAM
"Contributor Name","Description","City","State","Zip","Receipt Date","Amount","Memo Code","Report Type","Report Year","Image Number","Transaction Code","Other Id","Candidate Id","Transaction PGI",
"139TH DISTRICT DEMOCRATIC PAC","PERMISSIBLE FUNDS","WEST HARTFORD","CT","06110","04/25/2008","$100.00","","M5","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28991138855","","","","P",
"19TH WARD ORGANIZATION","PERMISSIBLE FUNDS","SAINT LOUIS","MO","63103","05/11/2007","$1,000.00","","Q2","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28935240927","","","","P",
"21ST CENTURY DEMOCRATIC COMMITTEE","PERMISSIBLE FUNDS","GLEN COVE","NY","11542","12/31/2007","$1,000.00","","YE","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28931912699","","","","P",
"5TH DISTRICT DEMORATIC COMMITTEE","PERMISSIBLE FUNDS","WYOMING","PA","18644","05/23/2008","$250.00","","M6","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28932074705","","","","P",
"80 20 PAC INC","","FLUSHING","NY","11355","02/22/2008","$1,000.00","","M3","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28931471915","18K","C00346015","","P",
"A. JOSEPH DE NUCCI COMMITTEE","PERMISSIBLE FUNDS","WEST NEWTON","MA","02465","01/31/2008","$250.00","","M2","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28990978625","","","","P",
"AA HOMECARE PAC","","ALEXANDRIA","VA","22314","09/05/2007","$1,000.00","","Q3","2007","http://docquery.fec.gov/cgi-bin/fecimg/?29932526309","18K","C00357129","","P",
"AAJ PAC","","WASHINGTON","DC","20001","10/13/2008","$5,000.00","","M11","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28993139487","18K","C00024521","","P",
"ABBE LAND FOR ASSEMBLY","PERMISSABLE FUNDS","LOS ANGELES","CA","90025","03/22/2007","$500.00","","Q1","2007","http://docquery.fec.gov/cgi-bin/fecimg/?27931555681","","","","P",
"ABIOMED INC, POLITICAL ACTION COMMITTEE","","DANVERS","MA","01923","10/23/2008","$2,500.00","","M11","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28993139487","18K","C00426445","","P",
"ACROSS THE TRACK PAC","","SUGAR LAND","TX","77479","09/10/2007","$2,500.00","","Q3","2007","http://docquery.fec.gov/cgi-bin/fecimg/?29932526309","18K","C00406991","","P",
"ADDUCI,MASTRIANI & SCHAUMBERG, LLP PAC","","WASHINGTON","DC","20036","12/17/2007","$1,500.00","","YE","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28931912699","18K","C00383836","","P",
"ADVANCED ACOUSTIC CONCEPTS POLITICAL ACTION COMMITTEE","","HAUPPAUGE","NY","11788","08/22/2007","$2,000.00","","Q3","2007","http://docquery.fec.gov/cgi-bin/fecimg/?29932526309","18K","C00366385","","P",
"ADVANCED MEDICAL TECHNOLOGY ASSN POLITICAL ACTION COMMITTEE","","WASHINGTON","DC","20004","10/15/2008","$4,700.00","","M11","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28993139487","18K","C00340356","","P",
"ADVANCED MEDICAL TECHNOLOGY ASSN POLITICAL ACTION COMMITTEE","","WASHINGTON","DC","20004","10/15/2008","$300.00","","M11","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28993139488","18K","C00340356","","P",
"AFSCME POLITICAL ACTION COMMITTEE","* IN-KIND: IN-KIND CONTRIBUTION","WASHINGTON","DC","20036","12/06/2007","$2,355.00","","YE","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28931912699","15Z","C00011114","","P",
"AFSCME POLITICAL ACTION COMMITTEE","* IN-KIND: IN-KIND CONTRIBUTION","WASHINGTON","DC","20036","12/11/2007","$2,644.00","","YE","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28931912700","15Z","C00011114","","P",
"AIRTRAN AIRWAYS, INC. PAC","","ORLANDO","FL","32827","05/17/2007","$2,300.00","","Q2","2007","http://docquery.fec.gov/cgi-bin/fecimg/?28935240927","18K","C00325159","","P",
"ALERTED DEMOCRATIC MAJORITY","","PHILADELPHIA","PA","19103","03/10/2008","$2,700.00","","M4","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28991181712","18K","C00142653","","P",
"ALERTED DEMOCRATIC MAJORITY","","PHILADELPHIA","PA","19103","03/10/2008","$300.00","","M4","2008","http://docquery.fec.gov/cgi-bin/fecimg/?28991181712","18K","C00142653","","G",
"ALESSI FOR ASSEMBLY","PERMISSIBLE FUNDS","MANORVILLE","NY","11949","09/18/2007","$750.00","","Q3","2007","http://docquery.fec.gov/cgi-bin/fecimg/?29932526310","","","","P",
